date,open,high,low,close,volume,Index
2017-02-10,38.3974,38.6486,38.375,38.5589,1484623,HSBC
2017-02-13,38.532,38.8909,38.514,38.8371,2528786,HSBC
2017-02-14,38.864,39.0973,38.8461,39.0435,1664075,HSBC
2017-02-15,39.2947,39.6447,39.2409,39.5639,2237748,HSBC
2017-02-16,39.555,39.6178,39.3845,39.5819,1955253,HSBC
2017-02-17,39.2229,39.4652,39.187,39.4024,1892055,HSBC
2017-02-21,37.0873,37.3924,37.0693,37.3116,7484046,HSBC
2017-02-22,37.6062,38.0665,37.6062,37.91,3838982,HSBC
2017-02-23,37.956,38.0021,37.6246,37.7627,2682683,HSBC
2017-02-24,37.3576,37.5091,37.2932,37.4405,2402277,HSBC
2017-02-27,37.0907,37.2564,37.0354,37.1551,2040163,HSBC
2017-02-28,36.9894,37.1321,36.9618,37.0999,2004013,HSBC
2017-03-01,37.4589,37.7443,37.4589,37.597,2652566,HSBC
2017-03-02,37.597,37.6799,37.5003,37.5326,2198633,HSBC
2017-03-03,37.6891,37.8272,37.6154,37.7535,1643807,HSBC
2017-03-06,37.6062,37.6338,37.3945,37.5326,1552541,HSBC
2017-03-07,37.3484,37.4221,37.2794,37.3484,1260445,HSBC
2017-03-08,37.551,37.6246,37.2932,37.2932,1449473,HSBC
2017-03-09,37.4681,37.4681,37.2932,37.3484,1883778,HSBC
2017-03-10,37.2748,37.3669,37.1551,37.3576,1989154,HSBC
2017-03-13,37.7903,37.9929,37.7535,37.8916,2070930,HSBC
2017-03-14,37.4497,37.5602,37.3669,37.5141,1501517,HSBC
2017-03-15,37.6154,37.8962,37.6062,37.8824,1917280,HSBC
2017-03-16,38.1402,38.2322,37.9652,38.1217,2324764,HSBC
2017-03-17,37.864,37.9284,37.5418,37.6614,2367023,HSBC
2017-03-20,37.6062,37.6062,37.4262,37.4313,2041538,HSBC
2017-03-21,37.8824,37.9376,37.3678,37.4129,2746117,HSBC
2017-03-22,37.0999,37.3715,37.0723,37.284,2634016,HSBC
2017-03-23,37.238,37.3991,37.2196,37.33,2164617,HSBC
2017-03-24,37.3392,37.4359,37.1505,37.3392,1741145,HSBC
2017-03-27,37.284,37.5418,37.2011,37.4589,2366455,HSBC
2017-03-28,37.5141,37.887,37.5049,37.7903,1818976,HSBC
2017-03-29,37.4865,37.7167,37.4746,37.6154,1623107,HSBC
2017-03-30,37.6246,37.8778,37.6108,37.7903,1692593,HSBC
2017-03-31,37.6799,37.7259,37.5417,37.5786,1625899,HSBC
2017-04-03,37.4589,37.4957,37.0539,37.3392,2209956,HSBC
2017-04-04,37.2748,37.3392,37.1597,37.284,1522648,HSBC
2017-04-05,37.6891,37.9008,37.4221,37.4497,2678796,HSBC
2017-04-06,37.3853,37.5878,37.3208,37.4221,1807362,HSBC
2017-04-07,37.4405,37.4957,37.284,37.3484,1330723,HSBC
2017-04-10,37.6707,37.7443,37.4865,37.5786,1422419,HSBC
2017-04-11,37.8179,37.8824,37.5694,37.8548,1882749,HSBC
2017-04-12,37.8364,37.864,37.6384,37.7167,1292598,HSBC
2017-04-13,37.0631,37.2564,36.9526,36.971,2842630,HSBC
2017-04-17,37.0539,37.4083,37.0354,37.3669,1544016,HSBC
2017-04-18,36.9894,37.0446,36.6948,36.971,2775204,HSBC
2017-04-19,36.7685,36.8697,36.4831,36.5751,2413384,HSBC
2017-04-20,36.8237,36.8974,36.7823,36.8513,2083390,HSBC
